"","married-slope_2022","married-slope_2023","married-acc_2022","married-acc_2023","married-steady_slope","married-val_2022","unmarried-slope_2022","unmarried-slope_2023","unmarried-acc_2022","unmarried-acc_2023","unmarried-steady_slope","unmarried-val_2022"
"Douglas County, Missouri",-309.44562055593997,-343.9157239819324,-34.470103425987865,-34.470103425987865,0.0,7583.0,"","","","","",1949.0
"Douglas County, Nebraska",3986.1749999999993,3986.1749999999993,0.0,0.0,1.0,338533.0,1251.3785714285714,1251.3785714285714,0.0,0.0,1.0,112098.0
"Douglas County, Nevada",842.4979799612483,952.2625242405047,109.76454427925076,109.76454427925076,0.0,33799.0,"","","","","",7016.0
"Douglas County, Oregon","","","","","",65807.0,308.3821428571428,308.3821428571428,0.0,0.0,1.0,20994.0
"Douglas County, South Dakota","","","","","",2200.0,-37.24751131222183,-42.434001292829635,-5.186489980607765,-5.186489980607765,0.0,325.0
"Douglas County, Washington",168.49999999999997,168.49999999999997,0.0,0.0,1.0,27654.0,"","","","","",4891.0
"Douglas County, Wisconsin",730.378889515996,999.2653273493052,253.424585144312,284.34829052169516,0.0,25157.0,110.66428571428571,110.66428571428571,0.0,0.0,1.0,9739.0
"Do̱a Ana County, New Mexico",-1632.3411588413874,-1906.1643356645945,-273.8231768231905,-273.8231768231905,0.0,116560.0,827.912087912088,827.912087912088,0.0,0.0,1.0,38208.0
"Drew County, Arkansas",-584.1442126557231,-784.331384897232,-187.9369208594435,-212.43742362489138,0.0,9680.0,57.617857142857126,57.617857142857126,0.0,0.0,1.0,3505.0
"DuPage County, Illinois","","","","","",648336.0,989.3071428571426,989.3071428571426,0.0,0.0,1.0,126844.0
"Dubois County, Indiana",-126.40357142857141,-126.40357142857141,0.0,0.0,1.0,27946.0,194.98928571428573,194.98928571428573,0.0,0.0,1.0,7421.0
"Dubuque County, Iowa","","","","","",60844.0,223.08214285714288,223.08214285714288,0.0,0.0,1.0,18165.0
"Duchesne County, Utah",-262.7411926309287,-323.1117485456052,-60.37055591467628,-60.37055591467628,0.0,14541.0,43.93928571428572,43.93928571428572,0.0,0.0,1.0,1738.0
"Dukes County, Massachusetts",352.9447802197683,385.96950549448957,33.024725274723515,33.024725274723515,0.0,11995.0,86.32857142857144,86.32857142857144,0.0,0.0,1.0,3595.0
"Dundy County, Nebraska",-19.63214285714286,-19.63214285714286,0.0,0.0,1.0,1231.0,6.857142857142858,6.857142857142858,0.0,0.0,1.0,376.0
"Dunklin County, Missouri",-258.4428571428571,-258.4428571428571,0.0,0.0,1.0,13960.0,"","","","","",4955.0
"Dunn County, North Dakota",-110.00088881706324,-132.0873464770557,-22.086457659987612,-22.086457659987612,0.0,2470.0,13.157142857142857,13.157142857142857,0.0,0.0,1.0,726.0
"Dunn County, Wisconsin","","","","","",25495.0,106.11428571428569,106.11428571428569,0.0,0.0,1.0,9912.0
"Duplin County, North Carolina",-1185.443859082181,-1368.7880736910738,-183.34421460892673,-183.34421460892673,0.0,29573.0,-240.12849062702298,-263.6790723981976,-23.550581771171714,-23.550581771171714,0.0,7538.0
"Durham County, North Carolina",2595.0714285714284,2595.0714285714284,0.0,0.0,1.0,158106.0,1660.0357142857142,1660.0357142857142,0.0,0.0,1.0,75105.0
"Dutchess County, New York",-889.8357142857143,-889.8357142857143,0.0,0.0,1.0,176346.0,641.3607142857142,641.3607142857142,0.0,0.0,1.0,49374.0
"Duval County, Florida",3349.217857142857,3349.217857142857,0.0,0.0,1.0,508911.0,3449.317857142857,3449.317857142857,0.0,0.0,1.0,196068.0
"Duval County, Texas",-174.26428571428573,-174.26428571428573,0.0,0.0,1.0,5017.0,"","","","","",1524.0
"Dyer County, Tennessee",-273.65,-273.65,0.0,0.0,1.0,20351.0,124.30000000000003,124.30000000000003,0.0,0.0,1.0,6390.0
"Eagle County, Colorado",398.9142857142856,398.9142857142856,0.0,0.0,1.0,34558.0,"","","","","",13461.0
"Early County, Georgia",211.48813833227905,262.113542340041,50.62540400775906,50.62540400775906,0.0,5499.0,"","","","","",1326.0
"East Baton Rouge Parish, Louisiana",-332.6773536205292,-885.001520305872,-495.2507001197082,-609.397633257613,0.0,211997.0,621.517857142857,621.517857142857,0.0,0.0,1.0,93589.0
"East Carroll Parish, Louisiana",-82.18214285714285,-82.18214285714285,0.0,0.0,1.0,2018.0,"","","","","",978.0
"East Feliciana Parish, Louisiana",189.0060762766807,240.11661279898544,51.11053652230284,51.11053652230284,0.0,9886.0,41.007142857142846,41.007142857142846,0.0,0.0,1.0,2610.0
"Eastland County, Texas","","","","","",10557.0,-143.26898836457258,-163.73941499676584,-20.470426632192044,-20.470426632192044,0.0,2773.0
"Eaton County, Michigan",-268.16428571428565,-268.16428571428565,0.0,0.0,1.0,66746.0,223.44285714285715,223.44285714285715,0.0,0.0,1.0,19708.0
"Eau Claire County, Wisconsin",231.89642857142854,231.89642857142854,0.0,0.0,1.0,59539.0,369.44642857142856,369.44642857142856,0.0,0.0,1.0,26796.0
"Echols County, Georgia","","","","","",2192.0,-60.167582417587255,-71.33241758242002,-11.164835164835328,-11.164835164835328,0.0,280.0
"Ector County, Texas",1617.0142857142853,1617.0142857142853,0.0,0.0,1.0,96518.0,453.3642857142857,453.3642857142857,0.0,0.0,1.0,22951.0
"Eddy County, New Mexico",275.45,275.45,0.0,0.0,1.0,36723.0,"","","","","",7488.0
"Eddy County, North Dakota",-55.091794323176146,-95.14265439659357,-36.376966156836716,-43.724753990230965,0.0,1391.0,44.70693652424961,63.08686541393399,16.98173884517655,19.778118935800194,0.0,597.0
"Edgar County, Illinois",-88.2392857142857,-88.2392857142857,0.0,0.0,1.0,10455.0,127.78745959923253,149.6520361990988,21.864576599871086,21.864576599871086,0.0,2994.0
"Edgecombe County, North Carolina",-365.825,-365.825,0.0,0.0,1.0,23009.0,"","","","","",7133.0
"Edgefield County, South Carolina","","","","","",13989.0,122.1027149321344,136.86031027796344,14.75759534583074,14.75759534583074,0.0,3404.0
"Edmonson County, Kentucky",217.29468838125467,382.8269909918308,151.67156856424117,179.39303663962346,0.0,7647.0,-15.302177734673023,-50.59493071772158,-32.1518530331723,-38.43365293309762,0.0,1890.0
"Edmunds County, South Dakota",67.59111182935521,81.58367808663024,13.992566257272314,13.992566257272314,0.0,2959.0,"","","","","",604.0
"Edwards County, Illinois",-49.07142857142856,-49.07142857142856,0.0,0.0,1.0,4019.0,"","","","","",1020.0
"Edwards County, Kansas",-41.00714285714285,-41.00714285714285,0.0,0.0,1.0,1582.0,"","","","","",519.0
"Edwards County, Texas",-140.75159987072402,-157.9072236587017,-17.15562378797747,-17.15562378797747,0.0,617.0,"","","","","",267.0
"Effingham County, Georgia",623.525,623.525,0.0,0.0,1.0,45600.0,223.67499999999993,223.67499999999993,0.0,0.0,1.0,6843.0
"Effingham County, Illinois",173.37861990953388,213.59112798968272,40.21250808015521,40.21250808015521,0.0,22879.0,46.21071428571428,46.21071428571428,0.0,0.0,1.0,5877.0
