"","married.slope_2022","married.acc_2022","married.steady_slope","married.val_2022","unmarried.slope_2022","unmarried.acc_2022","unmarried.steady_slope","unmarried.val_2022","NAME","no_curve_married","no_curve_unmarried","cluster"
"863",-0.202025916473256,0.007678976113996,0.81334502673241,-0.295326275292301,0,0,0,-0.283701493753855,"Duval County, Texas",-1,1,3
"864",-0.240189678751544,0.007678976113996,0.81334502673241,-0.213563211061316,-0.188358445453545,-0.069567812562571,0.86077208868464,-0.197969922440682,"Dyer County, Tennessee",-1,-1,3
"865",0.0180726248535525,0.007678976113996,0.81334502673241,-0.137809470776355,0,0,0,-0.0733895811428103,"Eagle County, Colorado",-1,1,3
"866",-0.0538983519093565,0.0824968389469576,-1.2290380025023,-0.292756182885927,0,0,0,-0.287189954732073,"Early County, Georgia",-1,1,1
"867",-0.262855959789895,-0.724238125500336,-1.2290380025023,0.808320459710252,0.404031215052985,-0.069567812562571,0.86077208868464,1.33834476866851,"East Baton Rouge Parish, Louisiana",-1,-1,1
"868",-0.166666699755522,0.007678976113996,0.81334502673241,-0.31131736891619,0,0,0,-0.293321189178637,"East Carroll Parish, Louisiana",-1,1,3
"869",-0.0625313841110369,0.0832138026658721,-1.2290380025023,-0.269364076274389,-0.287594276702662,-0.069567812562571,0.86077208868464,-0.264567813843023,"East Feliciana Parish, Louisiana",-1,-1,1
"870",0,0,0,-0.265786209044769,-0.507142455123223,-0.442285557939912,-1.16129689266478,-0.26169600000742,"Eastland County, Texas",1,-1,2
"871",-0.238083183895304,0.007678976113996,0.81334502673241,0.0338215134069581,-0.0702387869561832,-0.069567812562571,0.86077208868464,0.0366731245689426,"Eaton County, Michigan",-1,-1,3
"872",-0.0460616407402428,0.007678976113996,0.81334502673241,-0.00460723342444297,0.103711132317256,-0.069567812562571,0.86077208868464,0.161552980193227,"Eau Claire County, Wisconsin",-1,-1,3
"873",0,0,0,-0.310389576221773,-0.408134720486681,-0.272852886436067,-1.16129689266478,-0.305618895051345,"Echols County, Georgia",1,-1,2
"874",0.485818710548935,0.007678976113996,0.81334502673241,0.192570042706871,0.20369159397837,-0.069567812562571,0.86077208868464,0.0938098869546021,"Ector County, Texas",-1,-1,3
"875",-0.0293372235710707,0.007678976113996,0.81334502673241,-0.126265383515361,0,0,0,-0.178624820652383,"Eddy County, New Mexico",-1,1,3
"876",-0.156264102741956,-0.0460815206015388,-1.2290380025023,-0.314660621901245,-0.283186309093467,0.239629232131727,-1.16129689266478,-0.300033833788238,"Eddy County, North Dakota",-1,-1,1
"877",-0.168992621159287,0.007678976113996,0.81334502673241,-0.266330087520806,-0.184203455888426,0.32853408537826,-1.16129689266478,-0.257802313764055,"Edgar County, Illinois",-1,-1,3
"878",-0.275584552283251,0.007678976113996,0.81334502673241,-0.199390377832807,0,0,0,-0.18487938452747,"Edgecombe County, North Carolina",-1,1,3
"879",0,0,0,-0.24748629796868,-0.190976309910121,0.199132872739181,-1.16129689266478,-0.250578732950574,"Edgefield County, South Carolina",1,-1,2
"880",-0.0516686515200721,0.231830127926489,-1.2290380025023,-0.281302742037606,-0.354681689210881,-0.654976528947139,-1.16129689266478,-0.277253126491088,"Edmonson County, Kentucky",-1,-1,1
"881",-0.109154300427497,0.028358196822186,-1.2290380025023,-0.306299823367647,0,0,0,-0.299910504359716,"Edmunds County, South Dakota",-1,1,1
"882",-0.15395230274237,0.007678976113996,0.81334502673241,-0.300647752930394,0,0,0,-0.2925812126075,"Edwards County, Illinois",-1,1,3
"883",-0.150855645590423,0.007678976113996,0.81334502673241,-0.313642182794155,0,0,0,-0.301408075991779,"Edwards County, Kansas",-1,1,3
"884",-0.189157163805606,-0.0176748384883737,-1.2290380025023,-0.318787699748824,0,0,0,-0.305847935418602,"Edwards County, Texas",-1,1,1
"885",0.104322343606025,0.007678976113996,0.81334502673241,-0.078931959674325,-0.0699622099460129,-0.069567812562571,0.86077208868464,-0.189988746566274,"Effingham County, Georgia",-1,-1,3
"886",-0.0685322720062139,0.0671079124884958,-1.2290380025023,-0.200083556282659,-0.281394696643921,-0.069567812562571,0.86077208868464,-0.207008207702428,"Effingham County, Illinois",-1,-1,1
"887",0.126636652073397,0.007678976113996,0.81334502673241,0.382362302276302,0.115501823012364,-0.069567812562571,0.86077208868464,0.210479526337222,"El Dorado County, California",-1,-1,3
